Part 1: 248396258
Hand: 23758, Bet: 416, Type:1
Hand: 24Q75, Bet: 253, Type:1
Hand: 267AK, Bet: 427, Type:1
Hand: 26T59, Bet: 173, Type:1
Hand: 26TK4, Bet: 692, Type:1
Hand: 26Q59, Bet: 18, Type:1
Hand: 2T798, Bet: 592, Type:1
Hand: 35274, Bet: 184, Type:1
Hand: 35946, Bet: 728, Type:1
Hand: 36AK9, Bet: 5, Type:1
Hand: 382A7, Bet: 305, Type:1
Hand: 3T586, Bet: 952, Type:1
Hand: 3Q42K, Bet: 879, Type:1
Hand: 3QK2T, Bet: 152, Type:1
Hand: 3AT26, Bet: 996, Type:1
Hand: 3AT52, Bet: 303, Type:1
Hand: 3AK24, Bet: 460, Type:1
Hand: 46Q8T, Bet: 596, Type:1
Hand: 4753K, Bet: 369, Type:1
Hand: 475TK, Bet: 461, Type:1
Hand: 4785K, Bet: 949, Type:1
Hand: 48QKT, Bet: 742, Type:1
Hand: 4967K, Bet: 564, Type:1
Hand: 4T2Q8, Bet: 878, Type:1
Hand: 4T759, Bet: 745, Type:1
Hand: 4K39T, Bet: 775, Type:1
Hand: 4K8AT, Bet: 324, Type:1
Hand: 4A86Q, Bet: 495, Type:1
Hand: 528QK, Bet: 141, Type:1
Hand: 5298Q, Bet: 160, Type:1
Hand: 54A68, Bet: 930, Type:1
Hand: 5649T, Bet: 655, Type:1
Hand: 56Q2A, Bet: 148, Type:1
Hand: 5T8QK, Bet: 301, Type:1
Hand: 5Q4T7, Bet: 19, Type:1
Hand: 5A6QT, Bet: 800, Type:1
Hand: 5A82T, Bet: 662, Type:1
Hand: 62A37, Bet: 700, Type:1
Hand: 6347A, Bet: 701, Type:1
Hand: 6398Q, Bet: 578, Type:1
Hand: 64825, Bet: 16, Type:1
Hand: 659Q3, Bet: 293, Type:1
Hand: 672Q8, Bet: 168, Type:1
Hand: 675K3, Bet: 471, Type:1
Hand: 6T2QA, Bet: 248, Type:1
Hand: 6T439, Bet: 963, Type:1
Hand: 6T98Q, Bet: 516, Type:1
Hand: 6TQ54, Bet: 376, Type:1
Hand: 6Q3T5, Bet: 415, Type:1
Hand: 6Q982, Bet: 221, Type:1
Hand: 6QT83, Bet: 966, Type:1
Hand: 6K27Q, Bet: 939, Type:1
Hand: 6A5Q3, Bet: 404, Type:1
Hand: 725T4, Bet: 836, Type:1
Hand: 72A8T, Bet: 791, Type:1
Hand: 73498, Bet: 967, Type:1
Hand: 74T98, Bet: 170, Type:1
Hand: 753QA, Bet: 570, Type:1
Hand: 7582K, Bet: 973, Type:1
Hand: 7586K, Bet: 839, Type:1
Hand: 75Q4A, Bet: 850, Type:1
Hand: 78564, Bet: 992, Type:1
Hand: 7T9K3, Bet: 698, Type:1
Hand: 7Q34A, Bet: 417, Type:1
Hand: 7Q983, Bet: 97, Type:1
Hand: 7K254, Bet: 945, Type:1
Hand: 7K49A, Bet: 760, Type:1
Hand: 7KTA6, Bet: 750, Type:1
Hand: 7A325, Bet: 950, Type:1
Hand: 82T96, Bet: 393, Type:1
Hand: 834TK, Bet: 366, Type:1
